,week,hku1,oc43,flu
1,1,1.966271051,2.396731934,2.046794114
2,2,1.981899987,2.400965437,2.061245308
3,3,2.008731816,2.407966537,2.085829769
4,4,2.018827372,2.410518937,2.095009086
5,5,1.98656185,2.402205429,2.06553681
6,6,2.009495204,2.40816105,2.086525195
7,7,1.998298038,2.40528259,2.076302863
8,8,1.935674005,2.38807913,2.01820491
9,9,1.95928336,2.394799671,2.040300398
10,10,1.919964748,2.383432277,2.003364617
11,11,1.887442466,2.373318097,1.972265186
12,12,1.89608202,2.376073881,1.98057819
13,13,1.820138644,2.349833828,1.906087065
14,14,1.80155145,2.342603115,1.887316661
15,15,1.788067871,2.337114712,1.873548977
16,16,1.737985591,2.314583876,1.821159967
17,17,1.722384917,2.30673209,1.804385526
18,18,1.693240331,2.290704058,1.772366871
19,19,1.668030571,2.275070462,1.743848684
20,20,1.650648505,2.263073556,1.723665265
21,21,1.621805658,2.240254517,1.689047988
22,22,1.593052822,2.212320839,1.652774106
23,23,1.592642382,2.211871142,1.652240697
24,24,1.570570146,2.18472674,1.622749244
25,25,1.564232581,2.175583974,1.613942454
26,26,1.561247916,2.171007432,1.609732679
27,27,1.555065852,2.160885238,1.600873027
28,28,1.554063569,2.159153234,1.599417553
29,29,1.545978233,2.144074403,1.587458013
30,30,1.54897761,2.149915356,1.591942133
31,31,1.550561853,2.152877729,1.594287332
32,32,1.555965387,2.162416831,1.602174591
33,33,1.553521448,2.158204917,1.598627962
34,34,1.571572531,2.186107772,1.624126715
35,35,1.567547803,2.180458439,1.6185709
36,36,1.582038588,2.19961601,1.63828072
37,37,1.588703604,2.207466525,1.647096344
38,38,1.611048511,2.230541138,1.675711946
39,39,1.62057304,2.239179698,1.687532736
40,40,1.651553717,2.263726895,1.724727947
41,41,1.673301909,2.278498215,1.749881737
42,42,1.704757,2.29727021,1.785132059
43,43,1.725668619,2.308423145,1.807936172
44,44,1.750328591,2.3204893,1.834269063
45,45,1.785391258,2.335999099,1.870800121
46,46,1.81075762,2.346230797,1.896642873
47,47,1.837427066,2.356243191,1.923342433
48,48,1.83276476,2.354542967,1.918707609
49,49,1.8906749,2.374355266,1.975379931
50,50,1.913776997,2.381560931,1.997487487
51,51,1.938410706,2.388873921,2.020778706
52,52,1.946028916,2.391064213,2.027925858
